Guard_ID,Date,Week,Regular_Shift,Actual_Shift,Is_Covering,Site,Clock_In,Clock_Out,Hours_Worked,Weekly_Hours,Over_40_Hours
1000,2024-01-01,1,Night,Night,False,Oakland CA,2024-01-01 22:26:00,2024-01-02 06:44:00,8.3,49.1,True
1000,2024-01-03,1,Night,Night,False,Oakland CA,2024-01-03 22:32:00,2024-01-04 06:39:00,8.12,49.1,True
1000,2024-01-04,1,Night,Night,False,Oakland CA,2024-01-04 22:30:00,2024-01-05 06:32:00,8.03,49.1,True
1000,2024-01-05,1,Night,Morning,True,Oakland CA,2024-01-05 06:32:00,2024-01-05 14:45:00,8.22,49.1,True
1000,2024-01-06,1,Night,Night,False,Oakland CA,2024-01-06 22:26:00,2024-01-07 06:43:00,8.28,49.1,True
1000,2024-01-07,1,Night,Night,False,Oakland CA,2024-01-07 22:26:00,2024-01-08 06:35:00,8.15,49.1,True
1000,2024-01-08,2,Night,Night,False,Oakland CA,2024-01-08 22:30:00,2024-01-09 06:45:00,8.25,57.33,True
1000,2024-01-09,2,Night,Night,False,Oakland CA,2024-01-09 22:23:00,2024-01-10 06:32:00,8.15,57.33,True
1000,2024-01-10,2,Night,Night,False,Oakland CA,2024-01-10 22:27:00,2024-01-11 06:27:00,8.0,57.33,True
1000,2024-01-11,2,Night,Night,False,Oakland CA,2024-01-11 22:25:00,2024-01-12 06:45:00,8.33,57.33,True
1000,2024-01-12,2,Night,Night,False,Oakland CA,2024-01-12 22:21:00,2024-01-13 06:36:00,8.25,57.33,True
1000,2024-01-13,2,Night,Morning,True,Oakland CA,2024-01-13 06:33:00,2024-01-13 14:30:00,7.95,57.33,True
1000,2024-01-14,2,Night,Night,False,Oakland CA,2024-01-14 22:21:00,2024-01-15 06:45:00,8.4,57.33,True
1000,2024-01-16,3,Night,Night,False,Oakland CA,2024-01-16 22:20:00,2024-01-17 06:36:00,8.27,40.76,True
1000,2024-01-17,3,Night,Night,False,Oakland CA,2024-01-17 22:29:00,2024-01-18 06:36:00,8.12,40.76,True
1000,2024-01-18,3,Night,Night,False,Oakland CA,2024-01-18 22:28:00,2024-01-19 06:41:00,8.22,40.76,True
1000,2024-01-20,3,Night,Night,False,Oakland CA,2024-01-20 22:30:00,2024-01-21 06:34:00,8.07,40.76,True
1000,2024-01-21,3,Night,Night,False,Oakland CA,2024-01-21 22:35:00,2024-01-22 06:40:00,8.08,40.76,True
1000,2024-01-22,4,Night,Night,False,Oakland CA,2024-01-22 22:34:00,2024-01-23 06:39:00,8.08,57.03,True
1000,2024-01-23,4,Night,Night,False,Oakland CA,2024-01-23 22:33:00,2024-01-24 06:43:00,8.17,57.03,True
1000,2024-01-24,4,Night,Night,False,Oakland CA,2024-01-24 22:31:00,2024-01-25 06:44:00,8.22,57.03,True
1000,2024-01-25,4,Night,Night,False,Oakland CA,2024-01-25 22:35:00,2024-01-26 06:27:00,7.87,57.03,True
1000,2024-01-26,4,Night,Night,False,Oakland CA,2024-01-26 22:24:00,2024-01-27 06:43:00,8.32,57.03,True
1000,2024-01-27,4,Night,Night,False,Oakland CA,2024-01-27 22:26:00,2024-01-28 06:45:00,8.32,57.03,True
1000,2024-01-28,4,Night,Night,False,Oakland CA,2024-01-28 22:28:00,2024-01-29 06:31:00,8.05,57.03,True
1000,2024-01-29,5,Night,Afternoon,True,Oakland CA,2024-01-29 14:21:00,2024-01-29 22:28:00,8.12,24.49,False
1000,2024-02-01,5,Night,Night,False,Los Angeles CA,2024-02-01 22:28:00,2024-02-02 06:38:00,8.17,24.49,False
1000,2024-02-04,5,Night,Night,False,Los Angeles CA,2024-02-04 22:21:00,2024-02-05 06:33:00,8.2,24.49,False
1000,2024-02-06,6,Night,Night,False,Los Angeles CA,2024-02-06 22:29:00,2024-02-07 06:45:00,8.27,40.8,True
1000,2024-02-07,6,Night,Night,False,Los Angeles CA,2024-02-07 22:21:00,2024-02-08 06:44:00,8.38,40.8,True
1000,2024-02-09,6,Night,Night,False,Los Angeles CA,2024-02-09 22:31:00,2024-02-10 06:39:00,8.13,40.8,True
1000,2024-02-10,6,Night,Night,False,Los Angeles CA,2024-02-10 22:31:00,2024-02-11 06:31:00,8.0,40.8,True
1000,2024-02-11,6,Night,Night,False,Los Angeles CA,2024-02-11 22:31:00,2024-02-12 06:32:00,8.02,40.8,True
1000,2024-02-12,7,Night,Night,False,Los Angeles CA,2024-02-12 22:34:00,2024-02-13 06:27:00,7.88,40.5,True
1000,2024-02-13,7,Night,Night,False,Los Angeles CA,2024-02-13 22:33:00,2024-02-14 06:41:00,8.13,40.5,True
1000,2024-02-14,7,Night,Night,False,Los Angeles CA,2024-02-14 22:23:00,2024-02-15 06:42:00,8.32,40.5,True
1000,2024-02-15,7,Night,Afternoon,True,Los Angeles CA,2024-02-15 14:27:00,2024-02-15 22:28:00,8.02,40.5,True
1000,2024-02-17,7,Night,Morning,True,Los Angeles CA,2024-02-17 06:21:00,2024-02-17 14:30:00,8.15,40.5,True
1000,2024-02-20,8,Night,Night,False,Los Angeles CA,2024-02-20 22:25:00,2024-02-21 06:34:00,8.15,32.81,False
1000,2024-02-22,8,Night,Night,False,Los Angeles CA,2024-02-22 22:23:00,2024-02-23 06:42:00,8.32,32.81,False
1000,2024-02-23,8,Night,Night,False,Los Angeles CA,2024-02-23 22:29:00,2024-02-24 06:36:00,8.12,32.81,False
1000,2024-02-24,8,Night,Night,False,Los Angeles CA,2024-02-24 22:21:00,2024-02-25 06:34:00,8.22,32.81,False
1000,2024-02-26,9,Night,Night,False,Los Angeles CA,2024-02-26 22:33:00,2024-02-27 06:28:00,7.92,48.43,True
1000,2024-02-27,9,Night,Night,False,Los Angeles CA,2024-02-27 22:33:00,2024-02-28 06:40:00,8.12,48.43,True
1000,2024-02-28,9,Night,Night,False,Los Angeles CA,2024-02-28 22:34:00,2024-02-29 06:32:00,7.97,48.43,True
1000,2024-02-29,9,Night,Night,False,Los Angeles CA,2024-02-29 22:33:00,2024-03-01 06:32:00,7.98,48.43,True
1000,2024-03-02,9,Night,Night,False,San Diego CA,2024-03-02 22:24:00,2024-03-03 06:40:00,8.27,48.43,True
1000,2024-03-03,9,Night,Night,False,San Diego CA,2024-03-03 22:32:00,2024-03-04 06:42:00,8.17,48.43,True
1000,2024-03-05,10,Night,Night,False,San Diego CA,2024-03-05 22:34:00,2024-03-06 06:45:00,8.18,32.41,False
1000,2024-03-06,10,Night,Night,False,San Diego CA,2024-03-06 22:27:00,2024-03-07 06:37:00,8.17,32.41,False
1000,2024-03-08,10,Night,Night,False,San Diego CA,2024-03-08 22:28:00,2024-03-09 06:39:00,8.18,32.41,False
1000,2024-03-10,10,Night,Night,False,San Diego CA,2024-03-10 22:32:00,2024-03-11 06:25:00,7.88,32.41,False
1000,2024-03-11,11,Night,Night,False,San Diego CA,2024-03-11 22:28:00,2024-03-12 06:31:00,8.05,48.47,True
1000,2024-03-12,11,Night,Night,False,San Diego CA,2024-03-12 22:28:00,2024-03-13 06:25:00,7.95,48.47,True
1000,2024-03-13,11,Night,Night,False,San Diego CA,2024-03-13 22:31:00,2024-03-14 06:32:00,8.02,48.47,True
1000,2024-03-14,11,Night,Night,False,San Diego CA,2024-03-14 22:27:00,2024-03-15 06:35:00,8.13,48.47,True
1000,2024-03-16,11,Night,Night,False,San Diego CA,2024-03-16 22:22:00,2024-03-17 06:41:00,8.32,48.47,True
1000,2024-03-17,11,Night,Night,False,San Diego CA,2024-03-17 22:27:00,2024-03-18 06:27:00,8.0,48.47,True
1000,2024-03-18,12,Night,Night,False,San Diego CA,2024-03-18 22:22:00,2024-03-19 06:25:00,8.05,48.2,True
1000,2024-03-19,12,Night,Night,False,San Diego CA,2024-03-19 22:30:00,2024-03-20 06:29:00,7.98,48.2,True
1000,2024-03-20,12,Night,Morning,True,San Diego CA,2024-03-20 06:29:00,2024-03-20 14:31:00,8.03,48.2,True
1000,2024-03-21,12,Night,Morning,True,San Diego CA,2024-03-21 06:29:00,2024-03-21 14:33:00,8.07,48.2,True
1000,2024-03-22,12,Night,Night,False,San Diego CA,2024-03-22 22:31:00,2024-03-23 06:31:00,8.0,48.2,True
1000,2024-03-23,12,Night,Night,False,San Diego CA,2024-03-23 22:28:00,2024-03-24 06:32:00,8.07,48.2,True
1000,2024-03-26,13,Night,Night,False,San Diego CA,2024-03-26 22:31:00,2024-03-27 06:26:00,7.92,40.53,True
1000,2024-03-27,13,Night,Night,False,San Diego CA,2024-03-27 22:20:00,2024-03-28 06:40:00,8.33,40.53,True
1000,2024-03-28,13,Night,Night,False,San Diego CA,2024-03-28 22:26:00,2024-03-29 06:29:00,8.05,40.53,True
1000,2024-03-30,13,Night,Night,False,San Diego CA,2024-03-30 22:22:00,2024-03-31 06:36:00,8.23,40.53,True
1000,2024-03-31,13,Night,Night,False,Tucson AZ,2024-03-31 22:27:00,2024-04-01 06:27:00,8.0,40.53,True
